Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
5.406249e-01  30.975525  5.146409e-01  3.972957e-01  -4.008861
5.421965e-01  31.065570  5.159877e-01  3.993779e-01  -3.986160
5.437681e-01  31.155615  5.173332e-01  4.014635e-01  -3.963540
5.453396e-01  31.245660  5.186775e-01  4.035525e-01  -3.940999
5.469112e-01  31.335705  5.200204e-01  4.056450e-01  -3.918539
5.484828e-01  31.425750  5.213621e-01  4.077409e-01  -3.896158
5.500544e-01  31.515795  5.227025e-01  4.098401e-01  -3.873855
5.516260e-01  31.605840  5.240416e-01  4.119427e-01  -3.851632
5.531976e-01  31.695885  5.253794e-01  4.140487e-01  -3.829486
5.547691e-01  31.785930  5.267159e-01  4.161579e-01  -3.807418
5.563407e-01  31.875975  5.280511e-01  4.182705e-01  -3.785427
5.579123e-01  31.966020  5.293850e-01  4.203864e-01  -3.763514
5.594839e-01  32.056065  5.307176e-01  4.225055e-01  -3.741677
5.610555e-01  32.146110  5.320489e-01  4.246278e-01  -3.719916
5.626270e-01  32.236155  5.333789e-01  4.267534e-01  -3.698230
5.641986e-01  32.326200  5.347076e-01  4.288821e-01  -3.676621
5.657702e-01  32.416245  5.360349e-01  4.310140e-01  -3.655086
5.673418e-01  32.506290  5.373609e-01  4.331491e-01  -3.633626
5.689134e-01  32.596335  5.386856e-01  4.352873e-01  -3.612240
5.704849e-01  32.686380  5.400090e-01  4.374286e-01  -3.590928
5.720565e-01  32.776425  5.413310e-01  4.395730e-01  -3.569689
5.736281e-01  32.866470  5.426517e-01  4.417205e-01  -3.548524
5.751997e-01  32.956515  5.439710e-01  4.438710e-01  -3.527432
5.767713e-01  33.046560  5.452890e-01  4.460246e-01  -3.506412
5.783429e-01  33.136604  5.466057e-01  4.481811e-01  -3.485464
5.799144e-01  33.226649  5.479210e-01  4.503407e-01  -3.464588
5.814860e-01  33.316694  5.492349e-01  4.525032e-01  -3.443784
5.830576e-01  33.406739  5.505475e-01  4.546686e-01  -3.423051
5.846292e-01  33.496784  5.518588e-01  4.568369e-01  -3.402388
5.862008e-01  33.586829  5.531687e-01  4.590082e-01  -3.381796
5.877723e-01  33.676874  5.544772e-01  4.611823e-01  -3.361274
5.893439e-01  33.766919  5.557843e-01  4.633593e-01  -3.340821
5.909155e-01  33.856964  5.570901e-01  4.655391e-01  -3.320439
5.924871e-01  33.947009  5.583945e-01  4.677217e-01  -3.300125
5.940587e-01  34.037054  5.596975e-01  4.699071e-01  -3.279880
5.956302e-01  34.127099  5.609991e-01  4.720953e-01  -3.259703
5.972018e-01  34.217144  5.622994e-01  4.742862e-01  -3.239595
5.987734e-01  34.307189  5.635982e-01  4.764798e-01  -3.219555
6.003450e-01  34.397234  5.648957e-01  4.786762e-01  -3.199582
6.019166e-01  34.487279  5.661918e-01  4.808752e-01  -3.179676
6.034881e-01  34.577324  5.674865e-01  4.830769e-01  -3.159837
6.050597e-01  34.667369  5.687797e-01  4.852812e-01  -3.140065
6.066313e-01  34.757414  5.700716e-01  4.874882e-01  -3.120359
6.082029e-01  34.847459  5.713621e-01  4.896977e-01  -3.100719
6.097745e-01  34.937504  5.726511e-01  4.919098e-01  -3.081145
6.113461e-01  35.027549  5.739388e-01  4.941245e-01  -3.061636
6.129176e-01  35.117594  5.752250e-01  4.963417e-01  -3.042193
